# 
# by column: 
# energy [GeV], 
# 3 sigma lower/upper limit for cutoff at z=1
# 3 sigma lower/upper limit for flat evo above z=1
# 3 sigma lower/upper limit for citoff at z=3
# all fluxes in [GeV^-1 cm^-1 s^-1 sr^-1]
# 
1.132947e+06 4.312631e-24 1.524259e-22 4.468065e-24 3.920483e-22 4.370195e-24 1.737629e-21
1.217676e+06 3.838899e-24 1.333671e-22 3.976123e-24 3.359219e-22 3.890282e-24 1.440348e-21
1.308742e+06 3.395039e-24 1.160964e-22 3.516060e-24 2.847679e-22 3.440752e-24 1.181910e-21
1.406619e+06 3.003367e-24 1.010969e-22 3.110273e-24 2.417283e-22 3.044087e-24 9.742987e-22
1.511815e+06 2.657717e-24 8.806865e-23 2.752316e-24 2.055028e-22 2.694036e-24 8.072880e-22
1.624879e+06 2.328445e-24 7.531242e-23 2.412096e-24 1.716539e-22 2.360620e-24 6.603895e-22
1.746399e+06 2.027007e-24 6.364635e-23 2.101022e-24 1.419451e-22 2.055410e-24 5.382488e-22
1.877006e+06 1.765569e-24 5.383382e-23 1.831212e-24 1.177667e-22 1.790692e-24 4.430982e-22
2.017382e+06 1.472525e-24 4.557848e-23 1.521479e-24 9.807054e-23 1.490933e-24 3.686880e-22
2.168255e+06 1.202712e-24 3.771882e-23 1.246889e-24 8.044007e-23 1.218875e-24 3.067179e-22
2.330412e+06 9.748162e-25 3.080263e-23 1.014875e-24 6.559847e-23 9.890245e-25 2.568599e-22
2.504696e+06 7.924692e-25 2.521595e-23 8.289115e-25 5.390960e-23 8.050335e-25 2.182275e-22
2.692014e+06 6.464493e-25 2.070041e-23 6.797018e-25 4.467963e-23 6.576248e-25 1.880107e-22
2.893342e+06 5.229115e-25 1.660901e-23 5.534007e-25 3.685402e-23 5.328503e-25 1.639667e-22
3.109725e+06 4.220894e-25 1.318984e-23 4.500932e-25 3.051869e-23 4.309553e-25 1.444430e-22
3.342292e+06 3.429046e-25 1.054905e-23 3.686298e-25 2.561657e-23 3.508646e-25 1.284320e-22
3.592251e+06 2.805921e-25 8.505612e-24 3.042315e-25 2.179734e-23 2.877813e-25 1.151428e-22
3.860904e+06 2.297060e-25 6.788611e-24 2.515100e-25 1.876010e-23 2.362452e-25 1.041898e-22
4.149649e+06 1.890669e-25 5.433309e-24 2.091667e-25 1.633421e-23 1.950392e-25 9.468802e-23
4.459988e+06 1.573083e-25 4.420110e-24 1.757924e-25 1.439192e-23 1.627766e-25 8.623574e-23
4.793536e+06 1.323778e-25 3.658277e-24 1.493462e-25 1.281829e-23 1.373962e-25 7.868979e-23
5.152030e+06 1.128495e-25 3.089342e-24 1.284500e-25 1.159387e-23 1.174944e-25 7.170748e-23
5.537333e+06 9.732344e-26 2.657136e-24 1.108238e-25 1.057195e-23 1.014279e-25 6.533696e-23
5.951453e+06 8.338573e-26 2.322132e-24 9.535188e-26 9.674845e-24 8.699466e-26 5.960944e-23
6.396543e+06 7.204736e-26 2.059435e-24 8.298537e-26 8.882606e-24 7.538292e-26 5.438864e-23
6.874920e+06 6.377836e-26 1.880425e-24 7.375828e-26 8.198500e-24 6.686929e-26 4.916391e-23
7.389074e+06 5.724100e-26 1.741105e-24 6.632534e-26 7.583317e-24 6.010355e-26 4.421846e-23
7.941679e+06 5.168370e-26 1.617781e-24 5.940023e-26 7.017237e-24 5.432868e-26 3.977258e-23
8.535612e+06 4.573209e-26 1.508058e-24 5.232099e-26 6.504215e-24 4.786122e-26 3.577558e-23
9.173963e+06 4.114907e-26 1.419456e-24 4.708993e-26 6.007516e-24 4.310351e-26 3.187369e-23
9.860054e+06 3.747955e-26 1.342546e-24 4.277631e-26 5.536399e-24 3.926986e-26 2.826248e-23
1.059746e+07 3.403094e-26 1.273903e-24 3.862567e-26 5.102493e-24 3.560259e-26 2.506175e-23
1.139001e+07 3.089719e-26 1.208897e-24 3.500807e-26 4.702836e-24 3.233136e-26 2.222468e-23
1.224183e+07 2.844493e-26 1.141486e-24 3.210290e-26 4.305827e-24 2.974448e-26 1.952876e-23
1.315736e+07 2.634685e-26 1.075154e-24 2.958964e-26 3.929294e-24 2.751992e-26 1.708139e-23
1.414135e+07 2.441863e-26 1.012739e-24 2.677888e-26 3.585810e-24 2.534754e-26 1.494132e-23
1.519894e+07 2.204263e-26 9.540066e-25 2.407533e-26 3.272462e-24 2.284240e-26 1.306989e-23
1.633562e+07 2.001107e-26 8.924792e-25 2.177655e-26 2.964437e-24 2.071764e-26 1.134879e-23
1.755731e+07 1.822094e-26 8.324015e-25 1.974902e-26 2.675888e-24 1.884261e-26 9.819507e-24
1.887036e+07 1.659735e-26 7.767915e-25 1.791604e-26 2.415493e-24 1.714352e-26 8.498431e-24
2.028162e+07 1.512409e-26 7.255871e-25 1.625828e-26 2.180498e-24 1.560315e-26 7.360690e-24
2.179842e+07 1.377065e-26 6.722866e-25 1.474354e-26 1.952450e-24 1.418809e-26 6.344366e-24
2.342865e+07 1.253323e-26 6.205961e-25 1.336512e-26 1.741748e-24 1.289539e-26 5.456171e-24
2.518080e+07 1.140795e-26 5.729105e-25 1.211640e-26 1.553824e-24 1.172139e-26 4.692387e-24
2.706400e+07 1.038455e-26 5.289164e-25 1.098508e-26 1.386650e-24 1.065509e-26 4.035577e-24
2.908803e+07 9.413909e-27 4.834766e-25 9.922628e-27 1.227337e-24 9.646154e-27 3.458482e-24
3.126343e+07 8.518605e-27 4.400195e-25 8.948485e-27 1.082215e-24 8.717146e-27 2.959325e-24
3.360152e+07 7.708852e-27 4.004871e-25 8.070322e-27 9.542791e-25 7.877995e-27 2.532244e-24
3.611447e+07 6.952103e-27 3.645230e-25 7.228311e-27 8.414896e-25 7.085285e-27 2.166827e-24
3.881535e+07 6.204345e-27 3.280525e-25 6.433386e-27 7.350546e-25 6.315904e-27 1.847198e-24
4.171823e+07 5.524368e-27 2.939239e-25 5.713981e-27 6.395367e-25 5.617470e-27 1.572241e-24
4.483821e+07 4.919151e-27 2.633586e-25 5.075232e-27 5.564473e-25 4.996500e-27 1.338234e-24
4.819151e+07 4.380449e-27 2.359832e-25 4.508070e-27 4.841670e-25 4.444373e-27 1.139074e-24
5.179560e+07 3.876946e-27 2.086367e-25 3.981784e-27 4.169889e-25 3.929758e-27 9.642955e-25
5.566923e+07 3.422967e-27 1.834695e-25 3.509049e-27 3.576591e-25 3.466486e-27 8.145586e-25
5.983255e+07 3.022309e-27 1.613471e-25 3.092587e-27 3.067813e-25 3.057985e-27 6.880904e-25
6.430724e+07 2.668690e-27 1.419001e-25 2.725680e-27 2.631500e-25 2.697759e-27 5.812723e-25
6.911657e+07 2.340364e-27 1.229728e-25 2.386915e-27 2.232551e-25 2.364135e-27 4.870803e-25
7.428558e+07 2.047094e-27 1.059711e-25 2.085150e-27 1.886116e-25 2.066516e-27 4.068928e-25
7.984116e+07 1.790679e-27 9.132610e-26 1.821634e-27 1.593508e-25 1.806466e-27 3.399218e-25
8.581223e+07 1.566473e-27 7.871032e-26 1.591506e-27 1.346351e-25 1.579230e-27 2.839864e-25
9.222985e+07 1.359791e-27 6.679898e-26 1.380199e-27 1.123983e-25 1.370169e-27 2.345957e-25
9.912743e+07 1.177077e-27 5.637198e-26 1.193738e-27 9.342467e-26 1.185526e-27 1.930034e-25
1.065409e+08 1.018981e-27 4.757635e-26 1.032533e-27 7.765847e-26 1.025831e-27 1.587979e-25
1.145087e+08 8.821765e-28 4.015625e-26 8.931527e-28 6.455667e-26 8.877044e-28 1.306651e-25
1.230724e+08 7.570706e-28 3.335866e-26 7.660101e-28 5.294692e-26 7.615615e-28 1.059390e-25
1.322766e+08 6.477424e-28 2.755917e-26 6.550302e-28 4.322260e-26 6.513957e-28 8.545584e-26
1.421692e+08 5.542448e-28 2.277008e-26 5.601707e-28 3.528726e-26 5.572084e-28 6.894247e-26
1.528016e+08 4.742790e-28 1.881499e-26 4.790838e-28 2.881122e-26 4.766755e-28 5.562765e-26
1.642291e+08 4.018049e-28 1.528849e-26 4.057013e-28 2.315718e-26 4.037481e-28 4.406055e-26
1.765113e+08 3.358510e-28 1.235457e-26 3.384562e-28 1.851694e-26 3.371387e-28 3.468856e-26
1.897120e+08 2.799965e-28 9.984904e-27 2.820587e-28 1.480842e-26 2.810170e-28 2.731587e-26
