"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+1.89262200000E+008, +1.92607485896E+000, +0.00000000000E+000
+1.90761900000E+008, +1.93272803305E+000, +0.00000000000E+000
+1.92261600000E+008, +1.93916028250E+000, +0.00000000000E+000
+1.93761300000E+008, +1.94614767000E+000, +0.00000000000E+000
+1.95261000000E+008, +1.95311125629E+000, +0.00000000000E+000
+1.96760700000E+008, +1.96032173880E+000, +0.00000000000E+000
+1.98260400000E+008, +1.96769843827E+000, +0.00000000000E+000
+1.99760100000E+008, +1.97508029983E+000, +0.00000000000E+000
+2.01259800000E+008, +1.98246976700E+000, +0.00000000000E+000
+2.02759500000E+008, +1.98997598058E+000, +0.00000000000E+000
+2.04259200000E+008, +1.99687947520E+000, +0.00000000000E+000
+2.05758900000E+008, +2.00355453626E+000, +0.00000000000E+000
+2.07258600000E+008, +2.01014219837E+000, +0.00000000000E+000
+2.08758300000E+008, +2.01681542931E+000, +0.00000000000E+000
+2.10258000000E+008, +2.02328061283E+000, +0.00000000000E+000
+2.11757700000E+008, +2.02986550970E+000, +0.00000000000E+000
+2.13257400000E+008, +2.03546286509E+000, +0.00000000000E+000
+2.14757100000E+008, +2.04159865092E+000, +0.00000000000E+000
+2.16256800000E+008, +2.04777025259E+000, +0.00000000000E+000
+2.17756500000E+008, +2.05374514278E+000, +0.00000000000E+000
+2.19256200000E+008, +2.05964706525E+000, +0.00000000000E+000
+2.20755900000E+008, +2.06521748699E+000, +0.00000000000E+000
+2.22255600000E+008, +2.07101310869E+000, +0.00000000000E+000
+2.23755300000E+008, +2.07647658347E+000, +0.00000000000E+000
+2.25255000000E+008, +2.08253826690E+000, +0.00000000000E+000
+2.26754700000E+008, +2.08804293059E+000, +0.00000000000E+000
+2.28254400000E+008, +2.09384364972E+000, +0.00000000000E+000
+2.29754100000E+008, +2.09938772233E+000, +0.00000000000E+000
+2.31253800000E+008, +2.10515102451E+000, +0.00000000000E+000
+2.32753500000E+008, +2.11127804330E+000, +0.00000000000E+000
+2.34253200000E+008, +2.11722709643E+000, +0.00000000000E+000
+2.35752900000E+008, +2.12378728855E+000, +0.00000000000E+000
+2.37252600000E+008, +2.13057826584E+000, +0.00000000000E+000
+2.38752300000E+008, +2.13769840285E+000, +0.00000000000E+000
+2.40252000000E+008, +2.14463054229E+000, +0.00000000000E+000
+2.41751700000E+008, +2.15195848049E+000, +0.00000000000E+000
+2.43251400000E+008, +2.15917881365E+000, +0.00000000000E+000
+2.44751100000E+008, +2.16689556655E+000, +0.00000000000E+000
+2.46250800000E+008, +2.17427650164E+000, +0.00000000000E+000
+2.47750500000E+008, +2.18184336758E+000, +0.00000000000E+000
+2.49250200000E+008, +2.18961626039E+000, +0.00000000000E+000
+2.50749900000E+008, +2.19706896740E+000, +0.00000000000E+000
+2.52249600000E+008, +2.20477100176E+000, +0.00000000000E+000
+2.53749300000E+008, +2.21317157215E+000, +0.00000000000E+000
+2.55249000000E+008, +2.22173734349E+000, +0.00000000000E+000
+2.56748700000E+008, +2.23055719629E+000, +0.00000000000E+000
+2.58248400000E+008, +2.23950043187E+000, +0.00000000000E+000
+2.59748100000E+008, +2.24835001303E+000, +0.00000000000E+000
+2.61247800000E+008, +2.25698066930E+000, +0.00000000000E+000
+2.62747500000E+008, +2.26538277342E+000, +0.00000000000E+000
+2.64247200000E+008, +2.27446755032E+000, +0.00000000000E+000
+2.65746900000E+008, +2.28330334349E+000, +0.00000000000E+000
+2.67246600000E+008, +2.29190834039E+000, +0.00000000000E+000
+2.68746300000E+008, +2.30076496983E+000, +0.00000000000E+000
+2.70246000000E+008, +2.30999681281E+000, +0.00000000000E+000
+2.71745700000E+008, +2.31886485316E+000, +0.00000000000E+000
+2.73245400000E+008, +2.32745676025E+000, +0.00000000000E+000
+2.74745100000E+008, +2.33580423242E+000, +0.00000000000E+000
+2.76244800000E+008, +2.34409268421E+000, +0.00000000000E+000
+2.77744500000E+008, +2.35274654131E+000, +0.00000000000E+000
+2.79244200000E+008, +2.36115243960E+000, +0.00000000000E+000
+2.80743900000E+008, +2.36954471634E+000, +0.00000000000E+000
+2.82243600000E+008, +2.37764648059E+000, +0.00000000000E+000
+2.83743300000E+008, +2.38643315692E+000, +0.00000000000E+000
+2.85243000000E+008, +2.39484465367E+000, +0.00000000000E+000
+2.86742700000E+008, +2.40222925283E+000, +0.00000000000E+000
+2.88242400000E+008, +2.40959624802E+000, +0.00000000000E+000
+2.89742100000E+008, +2.41677851008E+000, +0.00000000000E+000
+2.91241800000E+008, +2.42376526100E+000, +0.00000000000E+000
+2.92741500000E+008, +2.43014736592E+000, +0.00000000000E+000
+2.94241200000E+008, +2.43655471005E+000, +0.00000000000E+000
+2.95740900000E+008, +2.44180207901E+000, +0.00000000000E+000
+2.97240600000E+008, +2.44767501361E+000, +0.00000000000E+000
+2.98740300000E+008, +2.45247171942E+000, +0.00000000000E+000
+3.00240000000E+008, +2.45650703628E+000, +0.00000000000E+000
+3.01739700000E+008, +2.46088588572E+000, +0.00000000000E+000
+3.03239400000E+008, +2.46415980654E+000, +0.00000000000E+000
+3.04739100000E+008, +2.46708204316E+000, +0.00000000000E+000
+3.06238800000E+008, +2.47020125119E+000, +0.00000000000E+000
+3.07738500000E+008, +2.47206865626E+000, +0.00000000000E+000
+3.09238200000E+008, +2.47371204490E+000, +0.00000000000E+000
+3.10737900000E+008, +2.47608566920E+000, +0.00000000000E+000
+3.12237600000E+008, +2.47742967900E+000, +0.00000000000E+000
+3.13737300000E+008, +2.47877375276E+000, +0.00000000000E+000
+3.15237000000E+008, +2.47971228198E+000, +0.00000000000E+000
+3.16736700000E+008, +2.47924996286E+000, +0.00000000000E+000
+3.18236400000E+008, +2.47832956518E+000, +0.00000000000E+000
+3.19736100000E+008, +2.47757468093E+000, +0.00000000000E+000
+3.21235800000E+008, +2.47575562095E+000, +0.00000000000E+000
+3.22735500000E+008, +2.47327174129E+000, +0.00000000000E+000
+3.24235200000E+008, +2.47013999248E+000, +0.00000000000E+000
+3.25734900000E+008, +2.46568463540E+000, +0.00000000000E+000
+3.27234600000E+008, +2.46085189735E+000, +0.00000000000E+000
+3.28734300000E+008, +2.45470035312E+000, +0.00000000000E+000
+3.30234000000E+008, +2.44874312989E+000, +0.00000000000E+000
+3.31733700000E+008, +2.44146535016E+000, +0.00000000000E+000
+3.33233400000E+008, +2.43385360543E+000, +0.00000000000E+000
+3.34733100000E+008, +2.42493846892E+000, +0.00000000000E+000
+3.36232800000E+008, +2.41534649160E+000, +0.00000000000E+000
+3.37732500000E+008, +2.40603448698E+000, +0.00000000000E+000
+3.39232200000E+008, +2.39562744631E+000, +0.00000000000E+000
+3.40731900000E+008, +2.38429868123E+000, +0.00000000000E+000
+3.42231600000E+008, +2.37353983785E+000, +0.00000000000E+000
+3.43731300000E+008, +2.36186534377E+000, +0.00000000000E+000
+3.45231000000E+008, +2.34986099246E+000, +0.00000000000E+000
+3.46730700000E+008, +2.33767385511E+000, +0.00000000000E+000
+3.48230400000E+008, +2.32549779581E+000, +0.00000000000E+000
+3.49730100000E+008, +2.31213773575E+000, +0.00000000000E+000
+3.51229800000E+008, +2.29905677612E+000, +0.00000000000E+000
+3.52729500000E+008, +2.28535043357E+000, +0.00000000000E+000
+3.54229200000E+008, +2.27134627577E+000, +0.00000000000E+000
+3.55728900000E+008, +2.25705976017E+000, +0.00000000000E+000
+3.57228600000E+008, +2.24295443017E+000, +0.00000000000E+000
+3.58728300000E+008, +2.22882730567E+000, +0.00000000000E+000
+3.60228000000E+008, +2.21374746149E+000, +0.00000000000E+000
+3.61727700000E+008, +2.19864879388E+000, +0.00000000000E+000
+3.63227400000E+008, +2.18326312940E+000, +0.00000000000E+000
+3.64727100000E+008, +2.16832781613E+000, +0.00000000000E+000
+3.66226800000E+008, +2.15333030290E+000, +0.00000000000E+000
+3.67726500000E+008, +2.13829965316E+000, +0.00000000000E+000
+3.69226200000E+008, +2.12341799516E+000, +0.00000000000E+000
+3.70725900000E+008, +2.10845413691E+000, +0.00000000000E+000
+3.72225600000E+008, +2.09342029259E+000, +0.00000000000E+000
+3.73725300000E+008, +2.07873160387E+000, +0.00000000000E+000
+3.75225000000E+008, +2.06359978045E+000, +0.00000000000E+000
+3.76724700000E+008, +2.04894345195E+000, +0.00000000000E+000
+3.78224400000E+008, +2.03365166419E+000, +0.00000000000E+000
+3.79724100000E+008, +2.01842785794E+000, +0.00000000000E+000
+3.81223800000E+008, +2.00288744079E+000, +0.00000000000E+000
+3.82723500000E+008, +1.98669709753E+000, +0.00000000000E+000
+3.84223200000E+008, +1.97063780130E+000, +0.00000000000E+000
+3.85722900000E+008, +1.95455315690E+000, +0.00000000000E+000
+3.87222600000E+008, +1.93870389401E+000, +0.00000000000E+000
+3.88722300000E+008, +1.92313493898E+000, +0.00000000000E+000
+3.90222000000E+008, +1.90777151866E+000, +0.00000000000E+000
+3.91721700000E+008, +1.89234584229E+000, +0.00000000000E+000
+3.93221400000E+008, +1.87722110631E+000, +0.00000000000E+000
+3.94721100000E+008, +1.86228400951E+000, +0.00000000000E+000
+3.96220800000E+008, +1.84753758799E+000, +0.00000000000E+000
+3.97720500000E+008, +1.83294599455E+000, +0.00000000000E+000
+3.99220200000E+008, +1.81898910663E+000, +0.00000000000E+000
+4.00719900000E+008, +1.80533673134E+000, +0.00000000000E+000
+4.02219600000E+008, +1.79204290910E+000, +0.00000000000E+000
+4.03719300000E+008, +1.77895662760E+000, +0.00000000000E+000
+4.05219000000E+008, +1.76617790069E+000, +0.00000000000E+000
+4.06718700000E+008, +1.75322604686E+000, +0.00000000000E+000
+4.08218400000E+008, +1.74072974274E+000, +0.00000000000E+000
+4.09718100000E+008, +1.72830735393E+000, +0.00000000000E+000
+4.11217800000E+008, +1.71561878244E+000, +0.00000000000E+000
+4.12717500000E+008, +1.70385295453E+000, +0.00000000000E+000
+4.14217200000E+008, +1.69205116969E+000, +0.00000000000E+000
+4.15716900000E+008, +1.68053466723E+000, +0.00000000000E+000
+4.17216600000E+008, +1.66933112060E+000, +0.00000000000E+000
+4.18716300000E+008, +1.65800196963E+000, +0.00000000000E+000
+4.20216000000E+008, +1.64732835651E+000, +0.00000000000E+000
+4.21715700000E+008, +1.63679497834E+000, +0.00000000000E+000
+4.23215400000E+008, +1.62654297999E+000, +0.00000000000E+000
+4.24715100000E+008, +1.61664239981E+000, +0.00000000000E+000
+4.26214800000E+008, +1.60753221033E+000, +0.00000000000E+000
+4.27714500000E+008, +1.59845548334E+000, +0.00000000000E+000
+4.29214200000E+008, +1.58957231300E+000, +0.00000000000E+000
+4.30713900000E+008, +1.58059535656E+000, +0.00000000000E+000
+4.32213600000E+008, +1.57213194593E+000, +0.00000000000E+000
+4.33713300000E+008, +1.56394431631E+000, +0.00000000000E+000
