Trace
Swept SA
A.10.04,N9000A
529505823,0.532926847306715
531005814,0.533793177263441
532505805,0.54695156534933
534005796,0.575914028172749
535505787,0.566996883291984
537005778,0.565856346615373
538505769,0.567726109888796
540005760,0.567087289870519
541505751,0.560678728281397
543005742,0.550507291754825
544505733,0.53456611365738
546005724,0.530666135359958
547505715,0.513972382275011
549005706,0.499285495823402
550505697,0.478656875958513
552005688,0.473797539215889
553505679,0.460409019281554
555005670,0.440247324459762
556505661,0.42460107956295
558005652,0.405693676386965
559505643,0.382019964956805
561005634,0.357593678539171
562505625,0.338184558704852
564005616,0.316015997249695
565505607,0.292593144148729
567005598,0.275441749276915
568505589,0.25377490448012
570005580,0.233362351329133
571505571,0.21420408982398
573005562,0.192788103356353
574505553,0.175134991826175
576005544,0.155224155333551
577505535,0.143591643703413
579005526,0.130203123769106
580505517,0.120577478772278
582005508,0.113209558737982
583505499,0.102329622095318
585005490,0.0959651353776634
586505481,0.0890989320017028
588005472,0.0749578370798938
589505463,0.0758682419080583
591005454,0.0817958133195935
592505445,0.0734244599686296
594005436,0.0676049901282898
595505427,0.0384908172452807
597005418,0.0169023942373157
598505409,-0.0117100619873307
600005400,-0.034552776641132
601505391,-0.0611583662324695
603005382,-0.0897708224571154
604505373,-0.106592937210905
606005364,-0.122160760318887
607505355,-0.150020641556032
609005346,-0.172863356209834
610505337,-0.197211220838666
612005328,-0.220555652150803
613505319,-0.241391500171266
615005310,-0.261976489862592
616505301,-0.308472418167581
618005292,-0.35261123544669
619505283,-0.408791252525766
621005274,-0.452177494817374
622505265,-0.498323178729793
624005256,-0.546475729275577
625505247,-0.59663514645467
627005238,-0.636760230467105
628505229,-0.688173939292034
630005220,-0.72905159829197
631505211,-0.773441273900247
633005202,-0.817329232850161
634505193,-0.859962900154267
636005184,-0.899335409179201
637505175,-0.934945043266628
639005166,-0.983850168799913
640505157,-1.01695121959567
642005148,-1.06359862016645
643505139,-1.0929367960247
645005130,-1.11801038028713
646505121,-1.15462344769125
648005112,-1.19625368167866
649505103,-1.22483928254944
651005094,-1.25869290833272
652505085,-1.2885328008493
654005076,-1.31711840172008
655505067,-1.3497177358575
657005058,-1.38131363667828
658505049,-1.4154181207907
660005040,-1.45467122739381
661505031,-1.50923475327957
663005022,-1.54824506275702
664505013,-1.59553369709697
666005004,-1.64382576475358
667504995,-1.68986010744771
669004986,-1.73739960011682
670504977,-1.78569166777343
672004968,-1.83849918535505
673504959,-1.89231013625333
675004950,-1.93583589565577
676504941,-1.98789083824988
678004932,-2.04797324737732
679504923,-2.08748527351311
681004914,-2.14079450775306
682504905,-2.19109344204301
684004896,-2.2464095429163
685504887,-2.29721019386455
687004878,-2.34575311985036
688504869,-2.40708982062363
690004860,-2.4518698716719
691504851,-2.51145056414103
693004842,-2.5682718149893
694504833,-2.62233362421675
696004824,-2.68066002504002
697504815,-2.73346754262164
699004806,-2.7897870768116
700504797,-2.84058772775988
702004788,-2.90041927855815
703504779,-2.9507182128481
705004770,-3.00126800546721
706504761,-3.05884183130301
708004752,-3.12093110706378
709504743,-3.18251866616622
711004734,-3.23733305038118
712504725,-3.29189657626697
714004716,-3.35222984372357
715504707,-3.40905109457184
717004698,-3.46863178704097
718504689,-3.52294445459756
720004680,-3.57600283050835
721504671,-3.63909553958579
723004662,-3.69516421544659
724504653,-3.74997859966154
726004644,-3.80855585881398
727504635,-3.87189942622059
729004626,-3.92897153539805
730504617,-3.98779965287965
732004608,-4.0403563121321
733504599,-4.09843185462623
735004590,-4.16102284704534
736504581,-4.21332864796862
738004572,-4.28118766530022
739504563,-4.3344968995402
741004554,-4.40085076689679
742504545,-4.46268918432839
744004536,-4.52151730181002
745504527,-4.58711859417914
747004518,-4.63666495348158
748504509,-4.70929027906738
750004500,-4.77815272971564
751504491,-4.84701518036393
753004482,-4.91512505602469
754504473,-4.95614223213548
756004464,-5.02249609949209
757504455,-5.0805716419862
759004446,-5.14215920108867
760504437,-5.1956911912997
762004428,-5.25379894819161
763504419,-5.30036722194185
765004410,-5.35295609559208
766504401,-5.40855526919232
768004392,-5.45763212623421
769504383,-5.50796327492196
771004374,-5.56105386523052
772504365,-5.60962900561411
774004356,-5.65393955440185
775504347,-5.71129473630623
777004338,-5.75786301005647
778504329,-5.80719072542756
780004320,-5.85476243249444
781504311,-5.90434100619467
783004302,-5.95968932146576
784504293,-6.00751188686182
786004284,-6.05081900233286
787504275,-6.09738727608311
789004266,-6.14596241646669
790504257,-6.19736845477975
792004248,-6.23269808851977
793504239,-6.26827858058893
795004230,-6.30536422263308
796504221,-6.34997561455226
798004212,-6.3938344314839
799504203,-6.43092007352809
801004194,-6.47603318210557
802504185,-6.52164800734141
804004176,-6.56149309100641
805504167,-6.61914911604222
807004158,-6.66526565793639
808504149,-6.71414164145138
810004140,-6.76577706658723
811504131,-6.81640905840639
813004122,-6.8755702334172
814504113,-6.93548398341554
816004104,-6.99163485847638
817504095,-7.04502629191637
819004086,-7.11045892515636
820504077,-7.16510465024219
822004068,-7.22526925856967
823504059,-7.28944760016383
825004050,-7.34133388362885
826504041,-7.40726823352717
828004032,-7.46467340023384
829504023,-7.52835002516967
831004014,-7.58700948352217
832504005,-7.65168954177466
834003996,-7.71335930007714
835503987,-7.77327305007549
837003978,-7.83770224999884
838503969,-7.89134454176797
840003960,-7.94900056680384
841503951,-8.00991775011882
843003942,-8.0693297834588
844503933,-8.12297207522799
846003924,-8.17761780031382
847503915,-8.23527382534963
849003906,-8.29017040876463
850503897,-8.34933158377544
852003888,-8.40598417549461
853503879,-8.45862303394713
855003870,-8.50473957584128
856503861,-8.56289731753545
858003852,-8.61879733426709
859503843,-8.67118533439044
861003834,-8.72231904286793
862503825,-8.78248365119544
864003816,-8.82860019308959
865503807,-8.88174076820042
867003798,-8.93412876832375
868503789,-8.96594638545542
870003780,-9.06889304779267
871503771,-9.09876667148255
873003762,-9.12136540362662
874503753,-9.15951735217899
876003744,-9.21899225871054
877503735,-9.23281094933378
879003726,-9.27522748948199
880503717,-9.27524897200104
882003708,-9.34751765332009
883503699,-9.38491702688496
885003690,-9.47600008289155
886503681,-9.44441341593559
888003672,-9.48331793947546
889503663,-9.57866558707786
891003654,-9.59624715263858
892503645,-9.6409214177493
894003636,-9.68710083283502
895503627,-9.73904998949155
897003618,-9.79074828781895
898503609,-9.83768027789217
900003600,-9.88887685956123
901503591,-9.93881914958443
903003582,-9.99076830624097
904503573,-10.0346899963642
906003564,-10.0896494529708
907503555,-10.1325677097773
909003546,-10.1850185830922
910503537,-10.2369677397488
912003528,-10.2851540214678
913503519,-10.3338420198452
915003510,-10.3832825932101
916503501,-10.4249465583708
918003492,-10.4661088068732
919503483,-10.5147968052506
921003474,-10.5567116287405
922503465,-10.598124735572
924003456,-10.6435515756702
925503447,-10.6791949409309
927003438,-10.7150891645209
928503429,-10.7535237579018
930003420,-10.7942058224147
931503411,-10.8298707203443
933003402,-10.8625253183238
934503393,-10.8926713330117
936003384,-10.9336042558537
937503375,-10.9509564957541
939003366,-10.9800990771253
940503357,-11.0077365085215
942003348,-11.0255904650802
943503339,-11.0399324050306
945003330,-11.0555286366269
946503321,-11.0716265848814
948003312,-11.0867210998193
949503303,-11.0922829982488
951003294,-11.0978448966784
952503285,-11.1013999284746
954003276,-11.1016938019916
955503267,-11.1095134253837
957003258,-11.098267815759
958503249,-11.0942970976802
960003240,-11.0795394714473
961503231,-11.0715550201018
963003222,-11.0572991105272
964503213,-11.0528266757901
966003204,-11.0282855747197
967503195,-11.0137788068159
969003186,-10.9992720389121
970503177,-10.9782429544499
972003168,-10.9567121533295
973503159,-10.9391950854757
975003150,-10.9164099927094
976503141,-10.8926214666265
978003132,-10.8718432404935
979503123,-10.8538244559814
981003114,-10.8360565297984
982503105,-10.8155291619947
984003096,-10.8022766857367
985503087,-10.7907802177829
987003078,-10.7689985583333
988503069,-10.7570003737212
990003060,-10.7492667807049
991503051,-10.7550795374636
993003042,-10.7532968175813
994503033,-10.7580898641983
996003024,-10.7741715356277
997503015,-10.7887480570822
999003006,-10.8181252199574
1000502997,-10.8505126827827
1002002988,-10.8846561539121
1003502979,-10.9240676499541
1005002970,-10.9822935206835
1006502961,-11.031488491563
1008002952,-11.0839446207216
1009502943,-11.1562185578844
1011002934,-11.2320045116555
1012502925,-11.3032750155016
1014002916,-11.4026416522143
1015502907,-11.5022591472563
1017002898,-11.594100034094
1018502889,-11.7110267538485
1020002880,-11.8259466069696
1021502871,-11.9569213931574
