# 
# column 1: log10(energy) [log10(GeV)]
# column 2: E^2 * best fit flux [GeV cm^-2 s^-1 sr^-1]
# column 3: E^2 * max flux      [GeV cm^-2 s^-1 sr^-1]
# column 4: E^2 * min flux      [GeV cm^-2 s^-1 sr^-1]
# All fluxes single flavor!
# 
7.079457843841373444e+09 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
8.912509381337440491e+09 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.122018454301965332e+10 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.412537544622755432e+10 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.778279410038922882e+10 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.238721138568337631e+10 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.818382931264449310e+10 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.548133892335760498e+10 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
4.466835921509635162e+10 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.623413251903490448e+10 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
7.079457843841372681e+10 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
8.912509381337440491e+10 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
