,0,1,2,3,5,6,7,9,10,22,23
30,(-50.84572235005737+215.38085868430386j),(-1.1647517146026491-0.22917481597451694j),(-125.95773315166335+136.81650906498234j),(-235.02755192072993+130.33970330691386j),(275.4172761295113+246.62963732546092j),(268.10493227770576+1.1824710052838743j),(330.84041539745874-66.75494997122986j),(166.42898679458833+56.00880875943461j),(162.46859629742394-3.6578912654750635j),(189.4336607728582+153.86505282166766j),(239.6062154767396+107.8507295115928j)
31,(-15.182930530670092+236.11774238604676j),(-1.3412342592835065-0.022010821164625938j),(-107.22159048328146+166.01975460811659j),(-227.45282262068332+183.4651030341755j),(349.2569292930788+180.80862205193816j),(282.12706814991236-74.72734257417589j),(332.2008207282321-167.93214996930544j),(192.19326622665207+12.312517134157606j),(168.2793065802509-48.93959517525642j),(243.55592351904062+111.73388967463983j),(291.2339390839148+42.320247944440794j)
32,(12.44874244768397+261.12796385691473j),(-1.5988886350428584+0.11967216995049534j),(-99.71257590881918+202.68970848112124j),(-248.96239145236297+227.41399670221284j),(425.79651021345234+135.9733206060095j),(301.9484038383681-137.35423844203876j),(342.7675878462922-260.99101053788235j),(220.18749842788904-21.403068984289625j),(181.35808634579593-88.53672428009749j),(298.2131182104731+76.96398285691217j),(332.61105104087716-8.536444385479397j)
33,(60.765383381920685+257.9216124209332j),(-1.57407269853286+0.4073378933106174j),(-65.56646394504546+210.49103606221854j),(-192.48871063577027+261.60225090255346j),(445.1833023779992+31.14502678444377j),(258.2934287099869-207.0666441794909j),(270.09520285542493-332.755965023875j),(202.06709645368286-72.58107134331384j),(153.07382847277975-130.108897946125j),(309.2869322230961+4.817124016936087j),(321.3626994753175-82.08882713297487j)
34,(109.10838470562501+272.9595356648799j),(-1.6441205162673591+0.7164299056402362j),(-36.16759546547195+248.242660076054j),(-175.44580464773756+322.8276133647724j),(488.39217221472643-59.57317549908663j),(235.49242090640385-289.3941347651036j),(210.53203782315111-426.1684820085923j),(207.19018630440354-129.69025945363464j),(139.56199072191075-178.10624038948785j),(339.3571370192272-61.35571171268538j),(334.3185627367735-170.90960418999592j)
35,(155.4703408388313+266.26907114213066j),(-1.8325176437391248+1.0310138284609676j),(-5.797925992590635+261.8367605783209j),(-143.26234380757927+358.4457951018731j),(511.7588069813731-158.32475897874437j),(177.41871911429473-346.97259499278135j),(134.3846894777214-492.80993194594333j),(185.26304412049492-172.79860753058614j),(105.93847160895511-205.85744711312338j),(331.5812083213156-125.39803126218187j),(312.7368383135206-233.8205878980568j)
36,(209.15423355629156+237.5319818650866j),(-1.6285131875911698+1.5487304043558408j),(55.16375633896182+266.1002683233379j),(-69.11111537635252+397.0656370017618j),(460.9273492635732-282.497957806885j),(88.98476390273902-398.1342084335524j),(-0.5430433902266962-527.2403315325845j),(148.6538327111491-220.43292745514378j),(52.1124608549068-240.71549108539955j),(298.30689154076885-217.55332501712954j),(244.39407121655205-323.621663140368j)
37,(246.2954141380425+215.01769970971645j),(-1.560351314577598+1.909294106598172j),(85.2898622152037+268.04068684384265j),(-21.822051277084825+416.1841799002804j),(411.5989136616758-378.83010733377955j),(15.093062623878279-412.915390901865j),(-103.4133527682145-546.050768171936j),(109.7974696038229-256.2457988746915j),(7.237101863903383-254.27167324924253j),(283.5091623165671-263.9655821347581j),(207.7227314035854-371.0679631698484j)
38,(298.90912645380575+165.92528854789714j),(-1.3420279189033528+2.2991729790797257j),(137.18535600377507+262.6148394332866j),(49.80325047160713+438.6898963909073j),(343.7054159310375-466.15996701435654j),(-76.19982102699453-421.41709890250047j),(-203.69879420892454-515.9583141794143j),(56.63982110500542-284.6225208069129j),(-49.551705548001316-265.6354938731577j),(223.15446708570198-332.88097962556856j),(133.08692882668672-425.8504399087169j)
39,(322.78521074568556+140.22505435067762j),(-0.9344034277492557+2.668122190849084j),(164.92328658028674+244.5793978642909j),(101.80218976639699+439.9351184295334j),(294.9779685714886-535.614525351243j),(-126.01239355372073-419.9628975512401j),(-286.8328113523819-497.33700142448976j),(13.10404857574499-288.61432199917294j),(-87.22876026770268-263.2770181494203j),(187.35315590973875-375.7214096876243j),(61.37223774807818-448.080306785271j)
