!CSV A.01.01
!Keysight Technologies,P5020A,MY58100190,A.14.10.03
!Date: Tuesday, June 23, 2020 18:36:42
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S11(MAG),S11(DEG),S12(MAG),S12(DEG),S21(MAG),S21(DEG),S22(MAG),S22(DEG)
48452500,0.36253658,156.36771,0.001469986,161.23706,9.0025911,-54.887852,0.41465646,103.49523
48952000,0.36087063,153.79442,0.0012823706,-20.200382,8.782752,-60.572876,0.42057416,80.87339
49451500,0.36099035,150.99055,0.00045002936,34.334656,9.9745989,-71.107086,0.63655752,106.39789
49951000,0.35692939,148.20639,0.00041889405,-165.19431,9.3741417,-79.757217,0.42805284,79.288712
50450500,0.35489962,145.05025,0.0020045154,97.71579,10.898042,-83.195969,0.43149799,101.83289
50950000,0.35275736,142.40823,0.00061761594,20.863218,10.580898,-88.891418,0.22188076,82.764328
51449500,0.34784806,139.16081,0.0010739631,-46.502636,11.166875,-91.699554,0.56695884,97.654343
51949000,0.34952533,137.02094,0.00046624499,105.69015,11.43283,-99.430237,0.4193719,115.40155
52448500,0.34401321,133.75642,0.00018901414,70.178085,12.368037,-109.14099,0.36228642,97.551819
52948000,0.34343413,130.62238,0.00067485432,108.10582,12.610648,-116.1215,0.39659274,88.235603
53447500,0.34317109,128.06502,0.00043073183,-104.69178,13.538619,-118.51481,0.36433589,89.377777
53947000,0.33978954,124.52546,0.00029577749,164.75471,14.883125,-130.54582,0.38294816,62.594032
54446500,0.33525363,121.33356,0.00065060507,38.655056,14.015751,-136.68568,0.38106644,76.866737
54946000,0.33588237,118.97797,0.00087206264,-3.909874,13.442493,-142.31039,0.4500218,61.565018
55445500,0.33663362,116.06055,0.0006129219,116.48191,15.400011,-149.27963,0.47921544,94.599472
55945000,0.33026412,112.8008,0.00033041366,18.060966,15.041405,-155.18097,0.41898447,68.320053
56444500,0.3305285,109.49085,0.00094757648,-22.328424,14.274023,-160.52499,0.4280633,81.952141
56944000,0.3319492,106.05767,0.0018511437,-125.80934,15.506013,-163.11005,0.34186125,88.935982
57443500,0.3302851,103.15953,0.0017865429,-97.063919,16.849688,-168.95493,0.3939102,62.365784
57943000,0.32528174,100.23729,0.0014482029,-109.85168,16.13059,-177.01582,0.44469547,66.624435
58442500,0.32615894,96.203941,0.00032787133,177.63242,17.404308,175.57458,0.49847123,57.558586
58942000,0.322137,93.081047,0.00024796138,84.500954,17.567741,171.41113,0.59128457,57.877663
59441500,0.32700625,90.29628,0.00036797248,-2.413116,17.599743,163.86555,0.42182383,71.011536
59941000,0.32170519,87.240334,0.00083611539,121.54411,17.580305,159.28429,0.56122029,72.138084
60440500,0.32247299,83.696335,0.00095835829,-105.25684,19.268747,156.60861,0.5652982,87.440109
60940000,0.32191727,79.741806,0.001702255,-160.08101,18.750219,149.37744,0.37822232,52.341885
61439500,0.32017609,76.581795,0.00049023883,101.52712,18.586311,142.04089,0.49747613,62.828266
61939000,0.32285836,73.269478,0.0010427956,131.59274,19.831644,138.79709,0.62136358,78.038795
62438500,0.32098925,70.403496,0.00071937463,65.485596,19.563309,133.60036,0.43096235,78.983887
62938000,0.32140297,66.555992,0.00094050757,-18.192108,19.250589,128.0695,0.36467084,64.394119
63437500,0.32013425,63.190029,0.0019867094,-152.42751,19.961926,120.30552,0.35163876,82.146637
63937000,0.31909013,59.70763,0.00062889705,118.10195,19.564089,113.03025,0.3235966,64.863472
64436500,0.32373801,56.069492,0.00048377909,-30.305696,19.689964,107.81995,0.37661108,59.10466
64936000,0.31972802,52.795452,0.00068806001,126.61945,19.570627,103.75545,0.49368668,52.580002
65435500,0.32012948,49.382732,0.00027114205,-118.62289,20.820398,101.05841,0.49077711,66.403854
65935000,0.32089594,45.619862,0.0002888561,-32.144253,19.372992,91.354752,0.48748174,71.005363
66434500,0.32097694,42.799026,0.00079479406,9.8333073,19.933788,87.518814,0.37836963,71.329453
66934000,0.31938255,38.563335,0.00011676661,67.776886,20.154779,78.911423,0.33783615,77.212547
67433500,0.32634467,35.474667,0.00037192629,102.82824,19.559603,75.630386,0.50516981,51.720131
67933000,0.32487857,31.838343,0.00087287044,-21.979477,19.008717,72.048401,0.18796968,49.23624
68432500,0.32279104,28.364162,0.00060205773,-172.01195,19.774689,66.49424,0.51000452,58.366405
68932000,0.32143414,24.283869,0.00052823249,-147.51093,19.009554,62.550335,0.36963549,71.824524
69431500,0.32472304,21.753269,0.00068210019,-67.909286,19.744095,59.158276,0.42217633,79.257217
69931000,0.32204598,18.099005,0.00065759924,-110.80926,18.592945,54.775555,0.4872404,60.259583
70430500,0.32497337,14.881576,0.0015025625,59.80283,17.881678,46.154156,0.66063559,50.983208
70930000,0.32486314,11.697217,0.0013943092,-176.80798,18.227724,43.481541,0.58895224,59.923
71429500,0.32223022,6.9242816,0.0023879358,-105.7421,17.532522,37.223133,0.304279,24.179113
71929000,0.32837167,4.2929392,0.00090109633,23.543621,16.947372,34.725365,0.43240979,34.008301
72428500,0.3232353,2.1862113,0.0014827627,-125.85352,16.243505,33.288582,0.32683533,63.121304
72928000,0.32490665,-2.4307942,0.00066567119,24.549517,15.073597,20.941456,0.58130884,47.735836
73427500,0.3281002,-5.6785736,0.0016128503,175.33228,14.504542,20.322416,0.59983921,55.380909
73927000,0.32481211,-8.8985357,0.0013757864,174.9407,14.546135,16.198574,0.60002226,52.676167
74426500,0.32321078,-11.946316,0.00078810484,-166.46617,13.105666,9.9270763,0.3280403,37.116772
74926000,0.32155693,-16.04768,0.00079954491,-84.601547,12.91112,11.558486,0.520073,35.688473
75425500,0.32541153,-17.442768,0.0021152552,-95.469368,11.800971,9.8068571,0.35510096,69.453705
75925000,0.3197701,-21.703869,0.00091107032,179.39783,11.004528,5.2872567,0.52244461,51.643734
76424500,0.31777886,-24.45315,0.00011612147,151.07664,9.8134594,7.0412478,0.35944936,52.543232
76924000,0.32022309,-28.455685,0.00048006285,-64.865425,10.014273,3.715874,0.43162516,36.275116
77423500,0.31891367,-30.70018,0.00082000624,20.548418,8.1125679,6.2651906,0.41370568,58.839504
77923000,0.31536162,-34.161591,0.0019606135,159.88097,8.5875893,1.5799477,0.59221405,50.274498
78422500,0.31588203,-36.898258,0.00024652711,16.293713,7.4016142,7.2298269,0.43594939,53.386826
78922000,0.31327105,-39.95956,0.0025832916,17.838165,6.2172666,24.373302,0.49552262,42.44529
79421500,0.3111077,-42.796932,0.00078188645,115.17449,7.6577415,20.109131,0.42411464,32.094109
79921000,0.3073037,-45.026192,0.0010637868,-103.3511,6.5464005,25.326921,0.6612094,26.348671
80420500,0.30833706,-47.834507,0.0003249213,146.06355,7.1717973,27.584135,0.5251658,17.629339
80920000,0.3083216,-50.513371,0.0013414434,106.31727,8.1770849,37.17701,0.4872638,34.042618
81419500,0.30467308,-53.807766,0.00090760348,-147.0266,8.6963682,43.764545,0.47556809,43.628723
81919000,0.30563417,-56.17503,0.0010995105,168.26746,10.244211,45.135754,0.37416071,24.344288
82418500,0.30100861,-58.551682,0.001350992,-111.76548,11.635194,42.873695,0.54078692,19.77997
82918000,0.29697332,-60.842098,0.0013692202,-171.55861,12.547095,44.322899,0.31432807,28.883083
83417500,0.29617497,-63.920811,0.00038339326,33.684303,14.082877,38.527439,0.38655695,40.848476
83917000,0.29821277,-65.807625,0.0018068134,-1.5091747,16.587982,41.485611,0.33442298,11.522005
84416500,0.28939766,-68.307251,0.0010761837,-72.568726,17.747026,37.979969,0.44955361,32.692364
84916000,0.28674302,-70.186081,0.00058817287,71.839996,19.090961,38.17968,0.31659168,43.463894
85415500,0.28312412,-73.344688,0.0010765564,-8.248909,20.863476,33.970863,0.52311826,34.295147
85915000,0.28072235,-75.461784,0.001097117,101.81624,22.266588,31.082859,0.58168441,27.81031
86414500,0.27983201,-75.986641,0.0014965398,145.36913,23.868889,25.899412,0.53507477,27.531393
86914000,0.27613339,-78.412018,0.00075853179,-143.14439,27.417311,23.354088,0.48541546,48.733604
87413500,0.27676803,-80.979485,0.00073137344,67.821228,28.199543,18.802105,0.3935667,24.636936
87913000,0.27028102,-84.015984,0.00043423925,136.08131,30.041302,14.554374,0.49335083,33.886784
88412500,0.26835942,-85.223526,0.00020389917,174.40634,31.997412,11.023723,0.38339281,15.202299
88912000,0.26556563,-87.858955,0.0008535955,-88.943001,33.477356,7.6795354,0.32777905,29.820023
89411500,0.2610077,-89.959938,0.0012391171,-88.740456,36.277786,3.9759598,0.34659609,26.616644
89911000,0.25615868,-90.691223,0.0010261262,-80.605904,37.760174,-0.12234258,0.31373483,21.041044
90410500,0.25619414,-93.978622,0.00064778927,-74.699097,39.362087,-5.3239942,0.67989284,40.801601
90910000,0.25201347,-95.061073,0.0014754517,-65.780884,42.005131,-7.2339859,0.363626,9.7310801
91409500,0.24887131,-96.330078,0.0009364385,-126.98061,43.335125,-12.642532,0.48746479,26.582846
91909000,0.24746454,-97.824593,0.00083307945,-31.197836,45.617016,-15.601501,0.42307574,13.715392
92408500,0.24447054,-100.25853,0.00061255379,-76.84877,46.52626,-19.565281,0.66405451,19.497061
92908000,0.23895006,-101.29963,0.0006465186,-23.506695,50.213627,-23.494234,0.37214056,6.8048639
93407500,0.23357953,-103.67052,0.00072482694,-81.757072,52.33366,-26.874714,0.34662816,11.911039
93907000,0.23578681,-103.65668,0.00080944551,-165.67908,53.752438,-31.693598,0.51145101,23.647614
94406500,0.23724236,-106.48222,0.00043445214,106.73846,56.626209,-35.746262,0.31732994,9.7861633
94906000,0.23120862,-108.80781,0.00086581678,96.314713,57.682205,-40.403801,0.64385843,19.748568
95405500,0.22341304,-108.69929,0.00060724426,-102.80311,59.467506,-44.888412,0.54746366,19.926638
95905000,0.21669459,-111.48161,0.0020224629,-33.04483,60.71241,-47.714993,0.70991224,9.1874428
96404500,0.22183694,-113.02415,0.00055581133,49.013939,63.85043,-52.626202,0.61125237,28.349545
96904000,0.21939757,-113.56567,0.00090564019,129.42963,65.551979,-57.073563,0.42123571,28.761019
97403500,0.21452737,-115.36705,0.0009748895,-49.682579,65.500961,-60.181591,0.7772091,23.186466
97903000,0.20828563,-117.3465,0.0013592474,-19.854095,68.718521,-64.541344,0.66838056,18.912882
98402500,0.20965396,-117.3721,0.00015417224,141.18527,72.335938,-67.943939,0.45761785,-1.1374637
98902000,0.21062525,-118.44932,0.00063781562,138.53772,72.664902,-71.150345,0.53710407,-14.103663
99401500,0.19708398,-120.38273,0.0014514998,-36.667999,73.251297,-76.770271,0.7120229,-13.931108
99901000,0.20228709,-122.40675,0.00074152916,127.34075,76.178535,-79.763008,0.52501726,14.026489
100400500,0.19601335,-122.3083,0.00089239288,-84.915207,77.741364,-83.470314,0.54324007,11.008256
100900000,0.19323969,-126.41145,0.0017406578,40.411861,79.195908,-87.311188,0.65292192,10.789371
101399500,0.18793122,-125.29235,0.0013294836,2.2215371,80.38591,-91.818245,0.60642338,9.5401402
101899000,0.1955457,-124.79311,0.00089179474,-145.95294,85.088799,-94.988068,0.28701466,-35.111694
102398500,0.19266865,-128.68869,0.0014533661,116.15685,82.418083,-99.62764,0.77404147,0.27841666
102898000,0.19374871,-129.00177,0.0019648604,156.08333,86.252197,-102.42139,0.52215737,-20.827457
103397500,0.18726839,-128.81168,0.0016224374,-163.25026,86.322372,-106.66219,0.50811106,7.3624573
103897000,0.17826284,-127.02409,0.0019163364,-73.272072,88.644691,-109.7229,0.72775149,-13.214701
104396500,0.17896175,-130.76143,0.00047271032,-88.500252,90.168251,-114.8904,0.16059969,5.1684237
104896000,0.17658961,-130.21838,0.00086366397,-99.261528,90.249779,-118.0602,0.45186847,-10.814528
105395500,0.17241871,-134.48763,0.00097282534,87.374878,89.397942,-121.37593,0.60829091,-10.719983
105895000,0.17596556,-136.04535,0.0010474009,171.07918,91.487213,-124.85613,0.54125702,5.9049854
106394500,0.17066643,-135.82236,0.000646514,-139.47398,91.177101,-128.36459,0.83773285,-34.621284
106894000,0.17202131,-133.70941,0.0014746998,-89.732445,90.293938,-133.65833,0.41223362,25.809225
107393500,0.16401553,-134.4425,0.00078394462,-37.754864,93.397263,-136.4111,0.55184168,-11.643411
107893000,0.16427793,-137.36841,0.00032541243,-117.02674,91.371094,-138.48407,0.63284522,-16.272779
108392500,0.15611441,-138.81476,0.00028857306,63.581287,90.653534,-142.22258,0.80381,9.4673147
108892000,0.15757096,-140.54761,0.00091001164,155.88193,91.525047,-146.75977,0.28438553,-36.648235
109391500,0.15667003,-138.0127,0.00098031922,-71.015343,89.138802,-148.83315,0.4109624,-3.9939733
109891000,0.1527874,-140.57428,0.00023476193,73.560577,90.462967,-151.75368,0.39484754,-96.228081
110390500,0.15339164,-141.25578,0.0005673194,82.387184,86.147957,-152.59023,0.63365328,-10.136882
110890000,0.15513177,-142.25519,0.001299268,-105.81619,83.810791,-154.75053,0.67126131,2.5400229
111389500,0.13865308,-141.86459,0.0010468259,55.033306,84.534332,-157.81604,0.61178541,-25.377106
111889000,0.14374153,-142.34033,0.00084423518,-20.134428,82.412727,-157.88335,0.74786985,-24.763191
112388500,0.14630735,-142.76169,0.0011089299,-65.895866,78.31794,-158.01819,0.9962967,-15.999274
112888000,0.13984104,-146.06503,0.0011770007,-172.89545,73.835014,-161.11252,0.47967705,4.3473177
113387500,0.13699695,-144.80319,0.0009374299,13.874335,73.121605,-158.08322,0.420362,-33.40321
113887000,0.13730241,-145.31532,0.00038169272,58.196442,69.86441,-155.86708,0.6561498,-9.3877058
114386500,0.13861637,-148.23672,0.00043630815,-138.2514,70.043007,-152.53816,0.99039066,-18.179165
114886000,0.13356778,-148.33545,0.00068737846,-176.9283,69.01088,-150.71088,0.45891261,-20.132532
