!CSV A.01.01
!Keysight Technologies,P5024A,MY58100101,A.13.90.09
!Date: Friday, January 24, 2020 13:56:57
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S11(REAL),S11(IMAG),S12(REAL),S12(IMAG),S21(REAL),S21(IMAG),S22(REAL),S22(IMAG)
73680000,0.271597,-0.12716757,-0.0005941799,0.0032421183,0.052694678,-0.2481852,0.017618673,0.0057903822
74675000,0.23556601,-0.20114556,0.0050978088,0.0011667084,-0.10354295,-0.20791045,0.017580481,-0.0026269581
75670000,0.21752225,-0.24601494,0.0015470919,0.001655731,-0.12522428,-0.12684107,0.026917486,-0.0020258413
76665000,0.16484334,-0.27302137,-0.0020311649,-0.0029543366,-0.17487703,-0.090556994,0.017013246,-0.024214623
77660000,0.11894482,-0.31195539,-0.00052485481,-0.00065951061,-0.15463713,-0.0097439615,0.01355546,-0.0094873775
78655000,0.045216084,-0.32667404,9.0642556e-005,-0.00039324473,-0.13143007,0.014394435,0.0068869255,-0.014903969
79650000,0.0074665174,-0.33885428,-0.0029700815,-0.004425338,-0.092995301,0.035770942,0.0097008096,0.0085739167
80645000,-0.061908394,-0.33463499,0.0019673971,0.00086062512,-0.14091481,0.08539395,0.0057965028,-0.0058404794
81640000,-0.11033749,-0.30989605,0.0012520225,0.0017301083,-0.19619811,0.10980088,0.0084909871,-0.019593462
82635000,-0.16025873,-0.28736219,-0.0022804067,-0.00078246166,-0.1195486,0.21651946,0.0066823042,-0.017604174
83630000,-0.20269421,-0.27073225,-0.0016012874,0.0017564241,0.036987629,0.26856834,0.014951748,-0.01852618
84625000,-0.23898304,-0.23106809,0.0037082236,0.0024111047,0.18971483,0.34678611,0.0127393,-0.011801703
85620000,-0.26280573,-0.17808925,-0.0023209627,0.0029366454,0.34737641,0.29820776,-0.014062478,-0.01062253
86615000,-0.29727358,-0.14041756,-0.0018095955,-0.00011734357,0.52745789,0.067378968,0.0052009285,-0.0084480168
87610000,-0.3124879,-0.091542095,-0.0024496515,-0.00032662123,0.52681124,-0.2214994,0.0042767315,-0.016649131
88605000,-0.3144289,-0.044381987,-0.0039142012,-0.0042277849,0.37494621,-0.50279349,-0.006191812,-0.026033312
89600000,-0.31817517,0.0028850192,-0.0022002012,0.0051934989,0.13055861,-0.68949991,0.0016686611,-0.016602309
90595000,-0.30994052,0.049456403,0.0031016821,-0.0017806601,-0.30319589,-0.77499813,-0.0086901663,-0.0071077566
91590000,-0.29138312,0.084001206,-0.0022861396,0.002020387,-0.72671193,-0.57993668,-0.0061602658,-0.0075937579
92585000,-0.28198504,0.12078842,-0.0011900591,0.0012936834,-0.99048263,-0.15841241,-0.0071645156,-0.022790832
93580000,-0.2564908,0.15960579,0.0012559153,0.002651776,-0.99699467,0.4148992,0.0048445319,-0.015767813
94575000,-0.21685286,0.1789719,-0.0040718764,0.0046458282,-0.71081662,0.93974632,0.0032212504,0.00058970007
95570000,-0.18336432,0.21097486,-0.0023552692,-0.0028047122,-0.19067021,1.2135929,-0.0091469679,-0.023908271
96565000,-0.16386354,0.22841565,-0.00269914,0.00027741576,0.43643042,1.1618823,-0.017457983,-0.0010265697
97560000,-0.12839885,0.24718748,-0.00038692393,8.5942542e-005,1.0936044,0.88036585,-0.024290442,-0.011982351
98555000,-0.095010236,0.24603097,0.0035781641,-0.0042524613,1.405413,0.1489549,0.0034538067,-0.029493555
99550000,-0.057800736,0.24347901,0.00056617946,-0.0032398384,1.3047402,-0.48214409,-0.007024792,-0.020010022
100545000,-0.027150964,0.24846517,-0.00353385,-0.0025117819,1.0081624,-1.1325923,-0.0094290134,-0.025513444
101540000,-0.00098325801,0.24149852,-0.00047732997,-0.0020659331,0.21708213,-1.6156567,-0.0077836323,-0.0073797046
102535000,0.021732301,0.24711116,0.00032985173,0.00073499035,-0.47068292,-1.6117436,-0.019558579,-0.015366996
103530000,0.057997394,0.22004096,-0.00028267861,-0.0030350836,-1.2264099,-1.114578,-0.017865198,0.0021529372
104525000,0.084327914,0.2218972,0.0032785453,0.0011939791,-1.5935339,-0.43756506,-0.022001607,-0.0095548332
105520000,0.10243853,0.1989789,0.0025167661,-0.0027904767,-1.6706461,0.44758177,-0.017568519,-0.0048870975
106515000,0.13585603,0.19007397,-0.0014134243,-0.0032756757,-1.2767892,1.2141099,-0.033698622,-0.0021974905
107510000,0.14241917,0.16700529,0.0013625618,0.0018577155,-0.60384732,1.6500849,-0.023716342,-0.00014281199
108505000,0.15814599,0.13649224,0.00049946533,0.0014528892,0.34674731,1.5667714,-0.031127656,0.032342639
109500000,0.16836023,0.13116597,-0.0012376861,0.0013023021,0.91078264,1.281144,-0.01937459,0.0080299303
110495000,0.16796196,0.10535043,-0.0023059573,0.00089371449,1.3053228,0.69566256,-0.0090307808,0.02024496
111490000,0.17886147,0.083184801,-0.0030103461,-0.0030883942,1.444117,0.19896941,-0.0089458441,0.0029566449
112485000,0.18642512,0.060143221,-0.001293771,0.0011551096,1.3824538,-0.28248456,-0.020028768,0.014135683
113480000,0.19423287,0.03902645,0.0018461749,0.002405321,1.1507958,-0.59590667,-0.027582509,0.024418557
114475000,0.1817831,0.024485629,0.002326607,0.0028374365,1.1057639,-0.87793607,-0.01838495,0.0079040593
115470000,0.18447423,0.00074579584,0.001513145,-0.0051005618,1.0993707,-1.3395805,-0.0014696849,0.024958311
116465000,0.18700522,-0.028719096,0.00092855637,0.00085728237,0.66667455,-2.1168547,-0.015424016,0.019934902
117460000,0.17488474,-0.037287105,0.00058108172,0.0012174426,-0.14283314,-2.8389394,-0.0013175203,0.011912382
118455000,0.17042768,-0.053807188,-0.0049208491,-0.0040392182,-1.7909447,-3.4207432,0.0024458244,0.045742698
119450000,0.14899863,-0.065255091,0.0013674075,0.0025102806,-4.2144971,-2.8763533,-0.011640806,0.0079517877
120445000,0.14000575,-0.083747789,0.0027567856,0.0016997475,-6.5126557,-0.36278129,-0.024259238,0.0099439975
121440000,0.13686736,-0.088999771,0.0001895695,-0.00044076238,-7.2258716,4.3732638,0.017835755,0.02606518
122435000,0.11889092,-0.1008865,-0.0035760135,-0.0043038358,-4.135097,9.293169,0.0072337664,0.0047879266
123430000,0.11897621,-0.10565491,-0.00056870672,0.0063583748,2.5220718,11.756622,-0.0098089343,0.020666299
124425000,0.097367905,-0.11875761,0.0025761274,-0.0024977026,10.149902,9.1615286,-0.0061223619,0.018389491
125420000,0.083882943,-0.12433179,-0.001036895,-0.002800256,15.057303,1.4836552,-0.0012199668,0.010235955
126415000,0.073295072,-0.13356771,-0.0019895085,0.0011610545,13.989354,-8.3584185,-0.008896458,0.033989877
127410000,0.063084997,-0.13752644,0.0030730802,-0.00070400571,7.0856552,-15.600562,0.030438194,0.007267972
128405000,0.057821777,-0.14133637,-7.7248413e-005,0.00016760353,-3.5123913,-17.721319,0.0028421676,0.014150244
129400000,0.027878141,-0.14760073,-0.0010413075,-0.0026627281,-12.794065,-12.994006,0.01328882,0.012087206
130395000,0.018120578,-0.14355503,-3.6927639e-005,-0.0019294784,-18.289688,-4.0985932,0.026747778,0.015286379
131390000,0.0021406952,-0.13727076,0.0042029484,-0.0015407312,-17.884794,6.201612,-0.015867153,0.01315836
132385000,-0.019770201,-0.14188859,0.00091472454,-0.0020106602,-11.752066,15.21493,-0.0099299317,0.0012155905
133380000,-0.019733129,-0.13559918,0.00016656173,-0.0043737548,-2.1928508,19.371017,0.01175519,0.052665956
134375000,-0.034718167,-0.12825881,-0.00026042378,-0.00015517417,8.0751867,17.692047,0.013245324,0.02413488
135370000,-0.03668664,-0.12819122,0.0011448296,-0.00020891261,16.464979,11.286535,-0.0061375597,0.014526687
136365000,-0.053882439,-0.13734506,0.00049571012,-0.0030689493,20.007315,0.95570803,0.0042831502,0.011821146
137360000,-0.063724063,-0.12604271,-0.00085727725,0.00016058963,17.782648,-9.4443932,0.017372984,0.027282247
