!CSV A.01.01
!Keysight Technologies,P5024A,MY58100101,A.13.90.09
!Date: Friday, January 24, 2020 14:13:22
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),B(DB),B(DEG)
696580000,-68.470306,0
698000000,-69.152382,0
701370000,-69.71492,0
701550000,-70.848335,0
704580000,-69.712982,0
706440000,-69.749947,0
708610000,-69.251266,0
709830000,-70.121941,0
713280000,-70.868744,0
714120000,-70.346191,0
716750000,-69.619659,0
718100000,-70.087128,0
719800000,-70.276543,0
721950000,-70.874886,0
725390000,-70.947968,0
726250000,-70.476768,0
728390000,-71.092468,0
731020000,-71.189163,0
731450000,-71.27594,0
733910000,-71.286873,0
736980000,-71.437576,0
739260000,-71.87706,0
740920000,-71.579277,0
741620000,-71.841255,0
744490000,-71.735298,0
745520000,-72.414856,0
748650000,-72.744835,0
750160000,-72.55722,0
752750000,-71.639137,0
753740000,-71.986862,0
756420000,-72.255219,0
758660000,-72.642067,0
760600000,-73.513496,0
763090000,-73.511063,0
763430000,-73.460014,0
765990000,-72.989624,0
767800000,-73.705368,0
770360000,-74.235077,0
772210000,-74.193184,0
774450000,-74.787338,0
776840000,-73.713226,0
777150000,-73.523941,0
780290000,-75.139618,0
783010000,-75.833504,0
783220000,-75.875755,0
786490000,-75.549202,0
787360000,-76.061157,0
789740000,-74.665466,0
791340000,-68.650421,0
793290000,-69.528839,0
796520000,-68.26075,0
797690000,-68.869278,0
799130000,-70.82679,0
802510000,-76.781303,0
803710000,-76.717407,0
805520000,-76.421547,0
808690000,-77.176285,0
809180000,-77.370293,0
812740000,-77.719109,0
813060000,-78.976395,0
815570000,-79.069,0
817400000,-78.264824,0
819930000,-79.40239,0
822040000,-82.091255,0
823560000,-82.679443,0
825940000,-83.565239,0
827050000,-84.041512,0
829660000,-83.673126,0
831900000,-84.452843,0
834730000,-83.423233,0
834960000,-84.520325,0
838100000,-85.470055,0
839630000,-85.596497,0
842590000,-84.993896,0
844500000,-85.143173,0
845960000,-84.735779,0
848030000,-86.428566,0
850590000,-86.333809,0
850780000,-85.713875,0
854380000,-85.914902,0
855290000,-85.68322,0
857030000,-85.542549,0
859080000,-86.651863,0
861050000,-86.843964,0
863470000,-86.767097,0
865760000,-86.190315,0
868550000,-86.254639,0
868740000,-86.610931,0
872660000,-86.802155,0
872850000,-87.139191,0
874850000,-87.229652,0
877350000,-86.797974,0
878710000,-86.403473,0
882270000,-86.881676,0
883050000,-87.613342,0
885510000,-87.347382,0
887800000,-86.525894,0
888670000,-87.147469,0
891420000,-87.361191,0
894310000,-87.276749,0
896460000,-88.289772,0
896910000,-86.889969,0
899260000,-86.763329,0
902000000,-86.363739,0
902540000,-86.942993,0
904690000,-87.269547,0
907890000,-87.702644,0
908700000,-87.236275,0
911450000,-87.630562,0
912500000,-87.318314,0
916030000,-88.077873,0
916600000,-87.919556,0
919200000,-86.793991,0
922270000,-87.113014,0
922450000,-87.453369,0
925260000,-87.007217,0
927020000,-88.190208,0
930270000,-87.732216,0
930580000,-87.465317,0
933120000,-87.199326,0
936190000,-87.28788,0
936520000,-87.710335,0
939060000,-87.658142,0
941030000,-87.335907,0
943550000,-87.315048,0
945200000,-87.271629,0
946760000,-86.723892,0
948540000,-87.558418,0
952150000,-88.124313,0
953990000,-87.862846,0
954300000,-87.440376,0
957840000,-87.405769,0
959300000,-87.461746,0
961090000,-87.94445,0
963850000,-88.055481,0
965930000,-88.127914,0
966370000,-87.324501,0
969540000,-86.974251,0
971080000,-87.495056,0
974020000,-87.775368,0
974220000,-88.683014,0
977360000,-87.242065,0
979070000,-87.232697,0
981420000,-87.872002,0
982630000,-88.122902,0
985350000,-88.643555,0
986140000,-88.189041,0
990040000,-87.015938,0
990410000,-87.481346,0
992310000,-87.840416,0
995900000,-88.214539,0
996090000,-87.625481,0
1000000000,-87.94368,0
1000380000,-87.576469,0
1002950000,-87.452187,0
1004760000,-87.487663,0
1006440000,-88.282433,0
1008060000,-87.711166,0
1010460000,-87.631897,0
1012880000,-87.696297,0
1014790000,-87.56414,0
1016160000,-88.066887,0
1019260000,-88.143661,0
1021050000,-87.93029,0
1023690000,-87.675415,0
1025030000,-87.119804,0
1027440000,-87.777092,0
1028690000,-88.082695,0
1030650000,-88.072235,0
1033750000,-87.720482,0
1033980000,-87.855515,0
1036490000,-87.056854,0
1038860000,-87.425751,0
1039840000,-87.784462,0
1041990000,-87.761757,0
1045670000,-87.760353,0
1046870000,-87.405037,0
1048890000,-87.797752,0
1049800000,-87.804634,0
1052350000,-88.24131,0
1054520000,-88.17067,0
1057620000,-88.088211,0
1059570000,-87.329597,0
1059740000,-88.179855,0
1063380000,-87.850937,0
1063780000,-87.625412,0
1067100000,-88.122345,0
1069450000,-87.44828,0
1070830000,-87.431709,0
1071680000,-87.12635,0
1075590000,-87.633926,0
1075800000,-88.080017,0
1077790000,-87.997963,0
1079880000,-87.699455,0
1082450000,-86.89621,0
1084710000,-87.697563,0
1086120000,-88.652565,0
1087700000,-88.122002,0
1091140000,-87.652557,0
1092410000,-87.291336,0
1094580000,-86.970657,0
1097530000,-87.600304,0
1099500000,-87.847878,0
1099610000,-87.895546,0
1102720000,-87.893196,0
1104260000,-87.368935,0
1106570000,-88.064346,0
1109170000,-88.089935,0
1110420000,-88.522972,0
1112130000,-87.990822,0
1114750000,-87.308632,0
1115740000,-87.06958,0
1117840000,-87.616951,0
1120590000,-88.287613,0
1123150000,-88.000427,0
1124510000,-87.225189,0
1127130000,-87.297607,0
1127540000,-87.508301,0
1130880000,-87.743698,0
1131870000,-88.544746,0
1133650000,-88.384468,0
1135720000,-87.342171,0
1139140000,-87.846291,0
1139530000,-87.610764,0
1143080000,-88.142082,0
1145050000,-88.017982,0
1145310000,-87.633125,0
1148100000,-88.207436,0
1151010000,-87.543976,0
1152200000,-87.947266,0
1153610000,-88.069786,0
1157230000,-88.061676,0
1159180000,-87.474251,0
1159510000,-87.230247,0
1163090000,-87.091812,0
1163220000,-87.50515,0
1165450000,-88.017342,0
1168630000,-88.406136,0
1169340000,-87.522301,0
1171920000,-87.796631,0
1174600000,-88.128136,0
1175410000,-87.997169,0
1178960000,-87.98822,0
1180010000,-87.919319,0
1182040000,-87.621361,0
1183500000,-87.561714,0
1185240000,-87.468887,0
1187320000,-88.375664,0
1190060000,-87.985001,0
1191750000,-87.486458,0
1193590000,-87.532974,0
1196600000,-87.670349,0
1198960000,-87.592659,0
1200850000,-88.662445,0
1201170000,-88.069687,0
1203700000,-87.576218,0
1205870000,-87.629936,0
1207350000,-87.599968,0
1209420000,-87.708344,0
1212770000,-88.842758,0
1213090000,-88.09433,0
1215220000,-87.897247,0
1217730000,-87.499084,0
1219140000,-87.603157,0
1221770000,-88.052818,0
1224160000,-88.586899,0
1225000000,-88.171989,0
1228710000,-87.694702,0
1229480000,-87.241936,0
1231050000,-88.731255,0
1234130000,-87.917953,0
1236580000,-88.23774,0
1238460000,-87.887672,0
1240630000,-87.337791,0
1241490000,-87.564697,0
1244680000,-88.144501,0
1244920000,-88.567001,0
1247310000,-87.689392,0
1249300000,-87.498878,0
1251770000,-87.526398,0
1252930000,-87.96701,0
1256400000,-87.924263,0
1258270000,-88.343719,0
1258790000,-88.147552,0
1262150000,-87.583839,0
1263850000,-87.723976,0
1266470000,-87.728836,0
1267700000,-88.03833,0
1268920000,-88.441612,0
1272160000,-87.475311,0
1273910000,-87.705582,0
1275480000,-87.823967,0
1278210000,-87.867287,0
1278690000,-88.185104,0
1282100000,-88.021027,0
1284530000,-87.231613,0
1286080000,-87.271973,0
1287310000,-87.871353,0
1289820000,-88.186516,0
1292410000,-88.520798,0
1292580000,-87.763115,0
1296510000,-87.387245,0
1298440000,-87.17971,0
1298860000,-87.618378,0
1300590000,-87.878349,0
1303720000,-87.813332,0
1305890000,-87.977661,0
1306740000,-87.32402,0
1310070000,-87.895287,0
1311530000,-88.142319,0
1313510000,-87.583229,0
1315500000,-88.031555,0
1318040000,-87.906151,0
1318550000,-87.554558,0
1320620000,-87.322495,0
1324220000,-87.711693,0
1324780000,-88.447731,0
1327760000,-88.288773,0
1329660000,-87.217323,0
1330780000,-87.263283,0
1333300000,-87.871971,0
