!CSV A.01.01
!Keysight Technologies,P5024A,MY58100101,A.13.90.09
!Date: Friday, January 24, 2020 14:19:27
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),B(DB),B(DEG)
833180000,-83.330788,0
834890000,-83.870804,0
837190000,-84.439095,0
840040000,-84.531044,0
841970000,-84.651581,0
844660000,-84.481262,0
845980000,-84.504784,0
848630000,-85.139954,0
849780000,-85.904808,0
852710000,-85.879311,0
852930000,-85.698814,0
854880000,-85.590874,0
858230000,-86.024216,0
859200000,-86.658791,0
862490000,-86.633011,0
862890000,-86.304291,0
865030000,-85.789413,0
867350000,-86.348663,0
868780000,-86.803658,0
870900000,-87.441284,0
873400000,-87.261398,0
875460000,-86.954956,0
878300000,-86.693497,0
879800000,-86.734062,0
881260000,-86.971977,0
882750000,-87.569702,0
885640000,-87.057671,0
888520000,-86.798119,0
888670000,-86.763939,0
891070000,-87.499756,0
892830000,-87.31324,0
896480000,-87.775215,0
896710000,-87.346008,0
899720000,-86.836273,0
900690000,-87.006882,0
902750000,-87.327179,0
905630000,-87.901436,0
906960000,-87.56395,0
908880000,-87.247017,0
912060000,-87.023056,0
912500000,-87.181061,0
915410000,-87.731606,0
918280000,-87.930733,0
919490000,-87.338326,0
921650000,-87.338699,0
922890000,-87.505081,0
926370000,-87.593147,0
927650000,-87.72377,0
928580000,-87.986412,0
930470000,-87.490456,0
933630000,-86.75074,0
935130000,-86.891907,0
936710000,-87.729111,0
939710000,-87.85939,0
941500000,-87.92778,0
943540000,-87.781258,0
944340000,-87.233948,0
947700000,-87.211136,0
948670000,-87.566704,0
951240000,-87.890175,0
953120000,-87.553719,0
956150000,-87.226257,0
956250000,-87.059532,0
958570000,-87.621796,0
961560000,-88.080986,0
963880000,-87.693871,0
965350000,-87.821014,0
967190000,-87.477654,0
969890000,-87.412384,0
971610000,-88.111305,0
974020000,-87.939354,0
975510000,-88.101059,0
976170000,-87.501945,0
978510000,-87.833199,0
980670000,-87.210701,0
982730000,-88.166634,0
985470000,-88.669762,0
987890000,-88.090889,0
988200000,-87.27951,0
991060000,-87.367363,0
992630000,-87.692093,0
995110000,-88.151154,0
997230000,-88.285728,0
998220000,-87.53791,0
1000840000,-87.782051,0
1002610000,-87.513908,0
1005050000,-87.585426,0
1006620000,-87.908745,0
1009180000,-87.919083,0
1010600000,-88.048241,0
1013080000,-87.408363,0
1015830000,-87.631042,0
1016180000,-88.180969,0
1019070000,-88.324326,0
1021670000,-87.857803,0
1022540000,-87.350952,0
1024750000,-87.330872,0
1025970000,-87.74041,0
1028370000,-88.026764,0
1031100000,-88.351707,0
1033060000,-88.098373,0
1035280000,-87.262978,0
1036840000,-87.615776,0
1038530000,-87.657082,0
1041370000,-88.433281,0
1042910000,-88.230598,0
1043910000,-87.899223,0
1047660000,-87.621872,0
1047850000,-87.255463,0
1049780000,-87.704102,0
1053710000,-87.998596,0
1054860000,-88.370346,0
1057310000,-87.442047,0
1057810000,-87.266159,0
1061150000,-87.717949,0
1062360000,-87.964409,0
1064410000,-88.185226,0
1066220000,-87.541405,0
1069400000,-87.450172,0
1071180000,-87.103348,0
1073630000,-87.353668,0
1075590000,-88.064041,0
1076450000,-87.95916,0
1078480000,-87.687134,0
1079730000,-87.522675,0
1082770000,-87.388649,0
1084460000,-87.940079,0
1086740000,-88.383171,0
1089080000,-88.003197,0
1090820000,-87.715736,0
1093080000,-87.145142,0
1095440000,-87.620651,0
1096100000,-87.901848,0
1098040000,-88.147324,0
1100860000,-88.066422,0
1103020000,-87.584007,0
1104090000,-87.085503,0
1106240000,-87.59417,0
1109360000,-88.176117,0
1110930000,-88.140938,0
1113220000,-87.612206,0
1115040000,-87.346748,0
1115880000,-87.537613,0
1119290000,-87.658768,0
1119670000,-87.835205,0
1123230000,-87.977547,0
1124000000,-87.789253,0
1126800000,-87.433464,0
1128590000,-87.571884,0
1130240000,-87.518951,0
1131440000,-88.154922,0
1134730000,-87.908875,0
1135930000,-87.911499,0
1139150000,-87.178223,0
1139730000,-87.655891,0
1142700000,-87.698074,0
1144160000,-88.236145,0
1147270000,-87.858299,0
1147400000,-87.24633,0
1150710000,-87.333145,0
1151380000,-87.746536,0
1154900000,-87.984375,0
1156750000,-87.788376,0
1158930000,-88.222145,0
1160470000,-87.732521,0
1163090000,-87.853172,0
1163390000,-87.88633,0
1165730000,-88.615509,0
1167970000,-87.784164,0
1171090000,-87.493309,0
1171230000,-87.688019,0
1173880000,-87.613991,0
1175710000,-87.911621,0
1178710000,-88.336189,0
1180850000,-87.727905,0
1181460000,-87.248924,0
1184840000,-87.136635,0
1185220000,-87.731682,0
1188510000,-88.20002,0
1191020000,-88.371017,0
1191690000,-87.823448,0
1194920000,-87.245346,0
1195120000,-87.223595,0
1198190000,-87.879097,0
1200960000,-88.190727,0
1202030000,-88.38884,0
1204080000,-87.481003,0
1206530000,-87.227264,0
1208420000,-87.785477,0
1210340000,-87.948555,0
1212160000,-88.656853,0
1213530000,-87.96859,0
1216750000,-87.325409,0
1218050000,-87.469711,0
1220520000,-87.501656,0
1221440000,-88.389992,0
